stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021003191345000,Södertälje centrum (Södertälje),59.191834,17.627541,1,,
9021003191346000,Rosersberg station (Sigtuna),59.585099,17.879352,1,,
9021003191347000,Sky City (Arlanda) (Sigtuna),59.648973,17.930035,1,,
9021003191701000,Rotebro station (Sollentuna),59.476620,17.914280,1,,
9021003191702000,Norrviken station (Sollentuna),59.458372,17.924415,1,,
9021003191703000,Häggvik station (Sollentuna),59.444280,17.932367,1,,
9021003191704000,Sollentuna station (Sollentuna),59.429049,17.947837,1,,
9021003191705000,Helenelund station (Sollentuna),59.409129,17.962238,1,,
9021003191706000,Ulriksdals station (Solna),59.380983,18.000191,1,,
9021003191707000,Solna station (Solna),59.365136,18.010179,1,,
9021003191708000,Karlberg station (Stockholm),59.339749,18.029294,1,,
9021003191709000,Stockholm Central (Stockholm),59.330313,18.056426,1,,
9021003191710000,Bro station (Upplands-Bro),59.511826,17.634571,1,,
9021003191711000,Kungsängen station (Upplands-Bro),59.477747,17.751855,1,,
9021003191712000,Kallhäll station (Järfälla),59.453238,17.805753,1,,
9021003191713000,Jakobsberg station (Järfälla),59.423438,17.833069,1,,
9021003191714000,Barkarby station (Järfälla),59.403573,17.868777,1,,
9021003191715000,Spånga station (Stockholm),59.383388,17.898632,1,,
9021003191716000,Sundbyberg station (Sundbyberg),59.360651,17.971298,1,,
9021003191717000,Stockholm södra (Stockholm),59.313672,18.062194,1,,
9021003191718000,Stockholm city (Stockholm),59.331166,18.059031,1,,
9021003191719000,Odenplan (Stockholm),59.343333,18.046036,1,,
9021003191720000,Farsta strand (Stockholm),59.236673,18.103531,1,,
9021003191721000,Trångsund (Stockholm),59.227732,18.130648,1,,
9021003191722000,Skogås (Stockholm),59.219239,18.153473,1,,
9021003191723000,Vega (Stockholm),59.185610,18.135416,1,,
9021003191724000,Handen (Stockholm),59.166285,18.133874,1,,
9021003191725000,Jordbro (Stockholm),59.142403,18.126519,1,,
9021003191727000,Krigslida (Stockholm),59.108434,18.064247,1,,
9021003191728000,Tungelsta (Stockholm),59.102860,18.046458,1,,
9021003191729000,Hemfosa (Stockholm),59.068652,17.976424,1,,
9021003191730000,Segersäng (Stockholm),59.029417,17.927127,1,,
9021003191731000,Ösmo (Stockholm),58.984521,17.902690,1,,
9021003191732000,Nynäsgård (Stockholm),58.913791,17.942447,1,,
9021003191733000,Gröndalsviken (Stockholm),58.899222,17.931743,1,,
9021003191734000,Nynäshamn (Stockholm),58.900377,17.949914,1,,
9021003191735000,Dragonvägen (Märsta) (Sigtuna),59.627562,17.852417,1,,
9021003191736000,Skogsvägen (Märsta) (Sigtuna),59.626428,17.843378,1,,
9021003191737000,Monumentvägen (Märsta) (Sigtuna),59.626821,17.837126,1,,
9021003191738000,Ekilla gård norra (Märsta) (Sigtuna),59.629558,17.825041,1,,
9021003191739000,Haraldsborgsvägen (Sigtuna),59.623524,17.725825,1,,
9021003191740000,Nyponvägen (Sigtuna),59.626023,17.723167,1,,
9021003191741000,Stockholm Norra Bantorget,59.335141,18.055568,1,,
9021003191742000,Stockholm S:t Eriksplan,59.339424,18.039398,1,,
9021003191743000,Stockholm Vanadisplan,59.344676,18.039444,1,,
9021003191744000,Stockholm Norra Stationsgatan,59.348074,18.040793,1,,
