from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022003705003003,9022003705003002,1,,33010000177717018,33010000191291822
9022003705003003,9022003705003002,1,,33010000177717226,33010000190690257
9022003705003003,9022003705003002,1,,33010000177717226,33010000191287588
9022003705003003,9022003705003002,1,,33010000177711556,33010000190692447
9022003705003003,9022003705003002,1,,33010000177711556,33010000191289778
9022003705003003,9022003705003002,1,,33010000177714938,33010000190691425
9022003705003003,9022003705003002,1,,33010000177714938,33010000191288756
9022003705003003,9022003705003002,1,,33010000177715562,33010000190690549
9022003705003003,9022003705003002,1,,33010000177715562,33010000191287880
9022003705003003,9022003705003002,1,,33010000177716186,33010000190693907
9022003705003003,9022003705003002,1,,33010000177716186,33010000191291238
9022003705003003,9022003705003002,1,,33010000188847986,33010000190692885
9022003705003003,9022003705003002,1,,33010000188847986,33010000191290216
9022003705003003,9022003705003001,1,,33010000188848194,33010000188779434
9022003705003003,9022003705003001,1,,33010000188848194,33010000190618376
9022003705003003,9022003705003002,1,,33010000188848194,33010000190692155
9022003705003003,9022003705003002,1,,33010000188848194,33010000191289486
9022003705003011,9022003705003009,1,,33010000189304001,33010000189207222
9022003705003003,9022003705003002,1,,33010000188847778,33010000190692739
9022003705003003,9022003705003002,1,,33010000188847778,33010000191290070
9022003705003003,9022003705003002,1,,33010000188848706,33010000190692009
9022003705003003,9022003705003002,1,,33010000188848706,33010000191289340
9022003705003003,9022003705003001,1,,33010000188848402,33010000167501040
9022003705003003,9022003705003001,1,,33010000188848402,33010000190618521
9022003705003003,9022003705003002,1,,33010000188848402,33010000190692301
9022003705003003,9022003705003002,1,,33010000188848402,33010000191289632
9022003705003003,9022003705003002,1,,33010000188848866,33010000190689012
9022003705003003,9022003705003002,1,,33010000188848866,33010000191286381
9022003705003011,9022003705003010,1,,33010000189303670,33010000189951459
9022003705003011,9022003705003009,1,,33010000189304419,33010000189207368
